id,GMCSF,MCF7,T47D,MDA-MB-231,UIVC1,UIVC4
49,0.9502389,0.959345504,2.363159791,1.043778166,0.960939647,1.00389968
54,0.962456786,0.477566532,0.946373008,0.520029761,0.472117856,0
68,0.475582078,0,0,1.040059522,1.921879294,0.993566275
154,10.47741907,11.46569812,12.87218611,15.14115913,10.57122347,19.32567382
155,88.54567354,75.95831771,87.73806273,97.11140461,78.79705107,108.0299034
156,259.3819283,230.2634168,258.417912,332.0583513,239.2748595,351.1663179
159,0.962456786,0.964982753,0,2.08367456,1.904754361,1.496820882
160,61.1217626,58.89680195,74.35601397,78.67006037,56.47173053,102.4634818
161,67.46696191,58.28267722,67.91486595,81.41486005,62.16871178,76.7931588
309,10.00391878,10.16969086,10.77032662,6.7758446,8.571394624,6.026958002
310,4.778549247,6.698822514,6.554894354,5.221043259,7.114226401,5.450024965
313,4.774520245,4.815748656,3.760801446,3.132625955,4.280693879,2.980661449
348,0.95457443,6.688139871,2.803803759,1.043778166,0.95237718,1.006924591
352,14.2535835,230.7400368,59.34784507,12.53050382,11.05124962,8.538696967
353,0,0,0,0,0,0
354,1.904985286,1.435394503,2.815164407,3.096867507,3.320743319,3.956814864
355,0,0,0,0,0,0
357,0,0,0,0,0,0
360,0,1.447750582,1.881688056,4.175112663,1.890917104,0
361,0,0,0,0,0,0
362,4.28925352,5.753901922,3.744441701,5.700745426,2.847413324,3.0013158
363,4.751194501,6.687193406,3.788066697,6.77203221,3.813467385,4.014277756
426,0,0.959345504,0.937744469,6.209733969,0.956270759,1.983270614
430,0,0.479630462,0.934601253,3.108256305,0.948697958,0.993553816
433,3.338212437,6.286719731,1.417756403,4.654748546,2.386759843,3.462463318
434,2.394323238,3.34422768,0.953507035,4.662512089,1.421255631,3.509833041
435,55.39233831,71.31014409,61.78653112,69.86205908,55.508672,55.42027964
436,0.475582078,0,0.469778347,3.108256305,0,0
439,0.95457443,0,0.947016674,0,0.48002615,0
448,0,0,0,0,0,0
449,7.218250526,8.135819131,7.021529485,7.292860959,7.563668417,9.024639128
451,2.880136139,3.8291263,1.430419409,3.646833059,2.857131541,0
456,1.924913571,0.959345504,1.889121563,1.043778166,0.950360615,1.017257996
483,0.956985836,0.479630462,0,0.514114788,0,0
487,1.898164737,0.957512483,2.335837638,2.08367456,1.900935586,1.00389968
497,0,2.39402445,0.469778347,0,0.473340696,0
515,7.201370684,8.278548606,10.78496751,8.875907219,8.61341462,7.913629728
562,5.739810631,7.178537556,5.64120217,6.732231544,5.240174928,4.500223901
565,1.909148861,4.317012479,3.750977876,3.132625955,3.809508722,3.020773774
566,2.860947524,3.349411257,2.365090791,2.586820373,2.860100539,1.498844547
594,1.909148861,1.915194127,1.869202506,1.043778166,1.426707543,1.983270614
595,3.826540421,8.61837357,4.290940513,6.718982082,8.136394701,4.958176535
596,3.796329474,5.74558238,3.778243126,2.602357049,1.920991947,2.974868546
599,1.920792221,2.909722674,1.412526903,1.563644799,0.960939647,1.486487477
600,1.920090759,1.910897106,1.869683742,2.606773537,1.89827555,0.496783137
604,6.722772775,6.702587378,6.143959349,7.24468963,4.727292761,7.451659851
607,3.800955601,2.872537448,2.829689375,3.12551184,1.912541517,0.993541358
609,3.338212437,0.477882021,0.470422014,2.604565293,1.904754361,1.00389968
610,0.962456786,1.93624024,1.880400723,1.044045524,0.948697958,1.498844547
639,21.00404774,25.85108859,26.95140277,20.84535532,25.84024386,22.15234101
641,7.157603091,5.329090257,5.622342875,5.218890828,6.144869169,5.019498399
686,8.66211107,11.01144972,9.377444689,6.262668994,8.065220054,6.023323328
697,45.77516038,40.20582614,39.75448263,39.89552091,38.96478522,38.15746953
704,6.637099789,4.787562413,5.192358601,5.170722745,3.828184276,3.507830547
772,3.342838564,2.921272106,2.840072166,7.259148877,3.801442461,6.011812273
774,3.800955601,3.865486715,3.788066697,3.132136571,4.751803076,5.454959672
780,10.08536487,12.92847687,10.42067827,15.66068285,11.44347752,10.43230884
814,5.734259096,6.715418531,8.43970022,4.16686282,4.274783157,3.561915443
815,3.320747396,5.301016366,6.128290844,4.143689227,3.825083035,4.069031986
816,0.9502389,1.447750582,2.343455059,4.665496745,1.89827555,3.004404266
817,8.077493279,9.170112488,7.051824545,10.96226275,6.705533912,11.05492986
818,5.285795718,6.705012465,6.137237097,6.263412169,6.652524306,3.964538735
820,1.907298349,1.910897106,1.874114292,1.551659319,1.903091704,2.511053967
824,0,0,0,0,0,0
831,4.772872152,5.756073026,4.688722345,5.700745426,3.781834209,5.50169199
836,15.78287571,14.83758537,6.138197411,6.221379284,4.29035747,4.007874848
837,0,2.867292124,0,1.043778166,0,0.494351546
838,86.35999862,98.11372386,110.023869,103.7037442,111.90515,109.3072609
937,6.200820197,6.702587378,5.684006332,8.801493241,6.618209865,7.504628167
938,0,0,0,1.034955661,0,0
966,5.688942676,5.756073026,7.0943894,6.737909331,6.666640263,6.538243476
972,5.293336955,3.828787976,4.673006265,4.176834607,4.727292761,4.069031986
977,2.382606926,3.830388253,1.892746015,3.087122065,2.857131541,1.98224445
1017,2.373746815,0.966371679,0.933270263,0,0,0
1046,38.10519778,31.84727693,28.13233407,32.64105136,27.08711714,27.61566256
1050,4.2938798,5.789896518,6.197954582,6.732231544,7.143337327,7.504628167
1051,2.399784574,4.824913765,5.201304854,4.689100825,5.237274621,5.935222296
1055,12.48514944,9.55448553,8.958562687,10.29040688,7.137125897,9.034984992
1056,8.112732682,6.715418531,6.63134072,7.24468963,5.672751313,6.954876713
1057,3.792628451,2.894694517,1.412844617,4.148655621,2.377741149,2.013824266
1066,1.425992934,1.915194127,0,0,1.890917104,0
1067,3.348182575,4.341791294,2.825689235,2.60936385,3.809443973,0.507116542
1068,3.337160244,6.235618907,0.939556695,1.566179299,4.760148778,1.483054639
1069,3.342715644,3.830388253,2.362524363,1.044208652,2.401905444,0
1070,0,1.436996617,0,0,0,0
1071,3.827943345,5.818002819,1.417756403,1.566179299,3.344169538,1.488418444
1075,1.91327021,1.447919743,5.199398568,3.646833059,1.437072219,3.005906136
1076,2.388852288,2.398406051,5.641845836,3.654596602,2.86276258,4.524481503
1078,6.64357658,7.176972516,13.25823344,7.257133934,6.206438658,6.033731484
1079,1.909148861,1.918913773,3.309850513,0.520029761,1.427734442,1.006924591
1163,19.9550169,20.26286162,19.74420759,19.83996438,22.39183897,21.3081799
1231,0,0,0,0,0,0
1232,1.905374225,0,0.467966121,2.056459152,1.416353568,0.494351546
1233,4.787049839,6.702587378,7.03398963,4.160053457,5.259244032,5.019436106
1241,1.920792221,2.392129682,3.296324507,1.551822448,2.856432018,2.973404051
1284,3.342838564,3.863621283,3.301648466,3.626417616,3.813467385,4.958114243
1290,1.904985286,1.936409401,1.876776271,2.071844613,2.381849083,0
1375,2.392472726,0.957512483,1.888178417,2.073466838,0.953031353,1.511003764
1376,1.923203627,1.434763526,1.907014069,1.042000408,1.441853144,0
1377,1.42840434,0,0.466635132,0,0,0
1392,17.6702534,12.43776369,24.99887029,18.7564033,14.80277072,8.427834958
1393,25.30970581,22.78183,22.88480426,23.82422378,18.50263503,19.34144182
1395,4.740785564,4.299676233,3.745653916,3.132625955,2.866150235,2.034515993
1398,11.06807767,10.53263731,7.039138963,8.353401856,8.983690506,5.961322897
1399,12.38240436,10.05385265,8.046555408,8.353669214,8.530515463,6.444589261
1400,18.11933432,14.00708552,10.83538046,7.757878204,11.94505013,10.41506718
1403,12.96576431,5.786284077,6.154428346,4.685601123,4.274783157,4.072056898
1404,11.44379009,7.69781216,6.563186903,6.787489915,8.527276057,5.449962672
1430,46.19827644,49.31716527,55.32692367,46.89001836,60.11044138,58.47694634
1447,19.68691457,13.40517476,13.63322708,12.52533799,13.34713585,11.18983796
1449,13.92694931,9.096255591,8.987135416,6.262668994,10.05048684,9.155321968
1458,7.140268042,7.719185378,7.548380049,5.694541962,5.71795236,3.974215265
1459,5.697810422,9.174988509,4.738292016,6.216512609,6.198865857,4.512319564
1460,34.81815606,17.81457718,22.62458566,6.22842403,10.07192839,4.967769081
1462,3.818297722,2.872537448,6.611925471,3.625615542,3.333441235,2.967611148
1465,5.689906955,9.573376384,4.271656885,6.730627397,6.206438658,4.512323548
1470,4.772766589,4.308270274,6.542208772,5.145203441,2.873800248,1.484556509
1473,0,2.889449194,0,0,1.442740491,0
1476,0,0,0,0,0,0
1572,5.739810631,6.220748497,6.137237097,5.693726321,6.699322483,4.502727018
1576,0,0,0,0,0.957046069,0
1594,1.918030084,0,0.469778347,0,0,0
1596,14.82454794,17.38408258,15.98404981,13.37752895,16.19041207,12.41942893
1617,3.342838564,3.828787976,4.256541235,4.657804015,3.828184276,4.94601858
1640,59.7338981,52.1157758,53.50952842,52.22725721,65.50176885,60.29961742
1641,10.47741907,10.714553,9.871781963,8.787271181,7.644609834,7.624897606
