hgnc_symbol,ensembl_gene_id,ensembl_transcript_id,transcript_biotype,mirbase_id,log2FoldChange,pvalue,padj
MAPRE1,ENSG00000101367,ENST00000375571,protein_coding,NA,-1.214800799,1.0108418903015e-45,7.37591110515199e-41
ZNF24,ENSG00000172466,ENST00000261332,protein_coding,NA,-10.69695862,9.71176398814208e-32,3.54323997343376e-27
PMEPA1,ENSG00000124225,ENST00000347215,protein_coding,,9.369226772,6.39780449986373e-28,1.55611666248686e-23
CLIP1,ENSG00000130779,ENST00000302528,protein_coding,,-9.233612842,7.1443840228917e-27,1.3032785334559e-22
PPP1R16A,ENSG00000160972,ENST00000435887,protein_coding,NA,9.627525345,2.47908177805247e-26,3.61787278361865e-22
CAST,ENSG00000153113,ENST00000341926,protein_coding,,9.055275298,2.17767936620608e-25,2.64834846655542e-21
DDR1,ENSG00000204580,ENST00000452441,protein_coding,NA,9.315896224,3.95747221351293e-25,4.12526903536588e-21
PRRC2C,ENSG00000117523,ENST00000426496,protein_coding,NA,9.911879737,5.44472823460797e-23,4.96613662278593e-19
NAA60,ENSG00000122390,ENST00000407558,protein_coding,,8.66769587,6.64746105545477e-23,5.38946598104915e-19
BRD4,ENSG00000141867,ENST00000679869,protein_coding,NA,9.136982048,3.91231984628772e-22,2.85474154543922e-18
NDUFA12,ENSG00000184752,ENST00000327772,protein_coding,,9.282306543,5.45080947224379e-22,3.50220564121398e-18
DDR1,ENSG00000204580,ENST00000376568,protein_coding,,-9.186518615,5.75957511437448e-22,3.50220564121398e-18
MBNL1,ENSG00000152601,ENST00000498502,protein_coding,NA,-8.487833325,1.3314368876389e-21,7.47325283209502e-18
CAST,ENSG00000153113,ENST00000338252,protein_coding,,-8.560962707,1.91647779785143e-21,9.98868228240164e-18
RAF1,ENSG00000132155,ENST00000691899,protein_coding,NA,-8.296145108,2.51886700758388e-21,1.22531125206254e-17
MED13L,ENSG00000123066,ENST00000650226,protein_coding,NA,8.247920901,4.0964165408214e-21,1.8681707634416e-17
LNPK,ENSG00000144320,ENST00000544803,protein_coding,,-9.032496624,5.47357104846933e-21,2.34938548391006e-17
KIFC3,ENSG00000140859,ENST00000465878,protein_coding,NA,8.52224692,8.14522714180093e-21,3.3018940782385e-17
RASSF8,ENSG00000123094,ENST00000689434,protein_coding,NA,8.339842833,1.36849632231637e-20,5.25560208667268e-17
KIAA1549,ENSG00000122778,ENST00000440172,protein_coding,NA,-8.691154218,2.41961660635137e-20,8.82772922661234e-17
LMBRD1,ENSG00000168216,ENST00000370570,protein_coding,NA,-8.282309528,3.54332251651553e-20,1.2311864637386e-16
TMEM170A,ENSG00000166822,ENST00000357613,protein_coding,,8.189817635,3.90701656113258e-20,1.24271122456883e-16
CLIP1,ENSG00000130779,ENST00000358808,protein_coding,,8.779163176,3.91710861817277e-20,1.24271122456883e-16
YAP1,ENSG00000137693,ENST00000282441,protein_coding,,-1.124522606,5.01522174440486e-20,1.52479458435722e-16
PXN,ENSG00000089159,ENST00000424649,protein_coding,NA,-0.829494031,9.01898893518045e-20,2.63239033848899e-16
AKAP9,ENSG00000127914,ENST00000680072,protein_coding,NA,-8.051655749,1.40758891324218e-19,3.95034414697906e-16
FAM156B,ENSG00000179304,ENST00000593751,protein_coding,,8.013083254,2.12610944358602e-19,5.74585014368833e-16
EIF4H,ENSG00000106682,ENST00000677570,protein_coding,NA,-8.073242451,2.81565495549776e-19,7.33759681402717e-16
PRKAG1,ENSG00000181929,ENST00000548065,protein_coding,NA,8.502491631,5.798567397395e-19,1.45899953742455e-15
UBE2Z,ENSG00000159202,ENST00000360943,protein_coding,,-0.641744441,1.79167690753415e-18,4.35783601963173e-15
AP2M1,ENSG00000161203,ENST00000621863,protein_coding,,-0.875321665,2.05228528884115e-18,4.83068235342454e-15
